Suffragette!,Independant,"International Larp (in English): Join us for a historical larp about divisions and sisterhood within the feminist movement of 1912. Expect arguments, angst, laughter, love and an elegant fistful of feminist power. ",https://suffragettelarp.wordpress.com,44€,x,sam. 18 août 2018,1 journée,Sweden,,"Grünewaldvillan, Ringvägen 71, 133 35, Saltsjöbaden, Stockholm, Sweden"
A nice evening with the family - Session 2,Independant,International Larp (in English): A Larp about the Contemporary Nordic Family,http://aniceevening.se/plays/,250€,x,dim. 19 août 2018,2 ou 3 jours,Sweden,,"Follökna Mansion, Flen, Sweden"
La bataille de Culfaquin,Esprit Grandeur Nature,"GN Medieval Fantastique dans l'univers d'Hélios, un monde emplis de magie et de mystére. Découvrez les secrets des Hélénides et de leur création, rencontrer les Gardiens des Elements, et le mal absolu...",https://www.facebook.com/events/210999309420828/,30€,25€,mar. 21 août 2018,Plus de 3 jours,67,,"Le Heissenstein, 67680 Nothalten, France"
A nice evening with the family - Session 3,Independant,International Larp (in English): A Larp about the Contemporary Nordic Family,http://aniceevening.se/plays/,250€,x,mer. 22 août 2018,2 ou 3 jours,Sweden,,"Follökna Mansion, Flen, Sweden"
Invasion in ze berry,Berry Champ de Bataille (BCB),"Wargame GN de masse. Pour plusieurs 100aines de personnes, réparties au sein de 2, 3 ou 4 armées qui vont s’affronter pendant 2 jours sur plus de 1000 hectares d’un terrain varié.",https://www.facebook.com/events/1891962577783878/,40€,x,jeu. 23 août 2018,Plus de 3 jours,18,,"Route de Menetou-Salon, 18110 Pigny, France"
"Orléans, 1562",Estocade GN,"GN renaissance qui sent bon duels, rapière et main-gauche. En pleine guerres de Religion (deuxième moitié du XVIe siècle).",https://estocadegn.wixsite.com/esctocade-gn,85€,45€,ven. 24 août 2018,2 ou 3 jours,02,,Fort dans l'Aisne
Les Griffons 2018 : Une nouvelle ère,Le Repaire des Griffons,Jeux de rôle grandeur médieval fantastique,https://www.facebook.com/groups/201519106554634/permalink/1704198039620059/,55€,20€,ven. 24 août 2018,2 ou 3 jours,52,,"Fort du Cognelot (Fort Vercingetorix), 52600 Chalindrey, France"
A nice evening with the family - Session 4,Independant,International Larp (in English): A Larp about the Contemporary Nordic Family,http://aniceevening.se/plays/,250€,x,ven. 24 août 2018,2 ou 3 jours,Sweden,,"Follökna Mansion, Flen, Sweden"
Nù Orb,Le Grand Duc,"Anticipation, conscience, communauté",http://www.grand-duc.fr/nuorb/index.html,120€,0€,ven. 24 août 2018,2 ou 3 jours,16,,"MFR Sud Charente, Ancienne Abbaye, 16190 Aignes-et-Puypéroux, France"
GN Le Repaire des Griffons,Le Repaire des Griffons,GN médiéval fantastique,https://lerepairedesgriffons.wixsite.com/mongn/,55€,20€,ven. 24 août 2018,2 ou 3 jours,52,,"Fort du Cognelot (Fort Vercingetorix), 52600 Chalindrey, France"
Les oubliés des fjords - Session découverte,Gnome Prod & Camp du Dragon,Jeu viking pour les passionné.e.s,https://www.facebook.com/events/174868069943378/,65€,25€,sam. 25 août 2018,2 ou 3 jours,56,,"Escapegame lizio Bretagne, Lieu-dit Le Val Jouin, 56460 Lizio, France"
Marked: a school for heroes,Marked Larp,"International Larp (in English): Mistry Academy might look like an upper class English school in a beautiful country manor, but it has a secret - its staff and students are all Marked, people with super powers",http://markedlarp.com,341€,x,jeu. 30 août 2018,Plus de 3 jours,United Kingdom,,"Ingestre Hall, Staffordshire, England"
Désossons pour mieux Régner,La Compagnie du Yucca,"GN médiéval funtastique mettant l'accès sur l'intrigue, l'action et le rôle play, mais aussi et surtout sur la convivialité et l'écologie. Tous les repas seront fait en circuit court.",https://www.facebook.com/events/166869090812412/,51€,x,ven. 31 août 2018,2 ou 3 jours,40,,Sort en Chalosse
